Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Forward (3-1),Forward (3-2),Center (3-1),Guard (3-1),Guard (3-2),Year
Marc Spears,The Undefeated,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Lillard, Damian -- POR","Davis, Anthony -- NOP","Harden, James -- HOU","Drummond, Andre -- DET","Thompson, Klay -- GS","Lowry, Kyle -- TOR",2015
Marc Stein,ESPN.com,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Nowitzki, Dirk -- DAL","Aldridge, LaMarcus -- SA","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Mark Boyle,107.5/1070 The Fan,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Harden, James -- HOU","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Walker, Kemba -- CHA",2015
Mark Followill,TXA-21/Fox Sports Net,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Drummond, Andre -- DET","Harden, James -- HOU","Lillard, Damian -- POR","George, Paul -- IND","DeRozan, DeMar -- TOR","Whiteside, Hassan -- MIA","Paul, Chris -- LAC","Thompson, Klay -- GS",2015
Mark Medina,LA Daily News,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Horford, Al -- ATL","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Marv Albert,TNT,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Gasol, Pau -- CHI","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Paul, Chris -- LAC","George, Paul -- IND","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Thompson, Klay -- GS","Harden, James -- HOU",2015
Matt Winer,NBA TV,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","Davis, Anthony -- NOP","Drummond, Andre -- DET","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Michael Cage,Fox Sports Oklahoma,"Durant, Kevin -- OKC","James, LeBron -- CLE","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Leonard, Kawhi -- SA","DeRozan, DeMar -- TOR","Cousins, DeMarcus -- SAC","Thomas, Isaiah -- BOS","Paul, Chris -- LAC","Harden, James -- HOU","Thompson, Klay -- GS","Davis, Anthony -- NOP","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Michael Smith,Prime Ticket,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","George, Paul -- IND","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Paul, Chris -- LAC","Aldridge, LaMarcus -- SA","Green, Draymond -- GS","Drummond, Andre -- DET","Harden, James -- HOU","Thompson, Klay -- GS",2015
Michael Wilbon,ESPN,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Horford, Al -- ATL","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Lillard, Damian -- POR",2015
Mike Breen,ABC Sports,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Thompson, Klay -- GS","Davis, Anthony -- NOP","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2015
Mike Fratello,TNT,"Aldridge, LaMarcus -- SA","James, LeBron -- CLE","Gasol, Pau -- CHI","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","DeRozan, DeMar -- TOR","Butler, Jimmy -- CHI","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Drummond, Andre -- DET","Lillard, Damian -- POR","Walker, Kemba -- CHA",2015
Mike Monroe,The Rivard Report,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Paul, Chris -- LAC","George, Paul -- IND","Thompson, Klay -- GS","Whiteside, Hassan -- MIA","Lowry, Kyle -- TOR","DeRozan, DeMar -- TOR",2015
Mike Rice,Comcast SportsNet NW,"James, LeBron -- CLE","Durant, Kevin -- OKC","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU","Hayward, Gordon -- UTA","Davis, Anthony -- NOP","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Parker, Tony -- SA",2015
Mike Tirico,ESPN,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Thompson, Klay -- GS","Aldridge, LaMarcus -- SA","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Harden, James -- HOU","Lillard, Damian -- POR",2015
Paul Coro,The Arizona Republic,"James, LeBron -- CLE","Durant, Kevin -- OKC","Drummond, Andre -- DET","Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Harden, James -- HOU",2015
Pete Pranica,Fox Sports Southeast,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","Hayward, Gordon -- UTA","Horford, Al -- ATL","DeRozan, DeMar -- TOR","Paul, Chris -- LAC",2015
Phil Chenier,Comcast SportsNet Mid-Atlantic,"James, LeBron -- CLE","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Leonard, Kawhi -- SA","Drummond, Andre -- DET","DeRozan, DeMar -- TOR","Paul, Chris -- LAC","Davis, Anthony -- NOP","George, Paul -- IND","Cousins, DeMarcus -- SAC","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Ralph Lawler,Prime Ticket,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Thompson, Klay -- GS","Paul, Chris -- LAC","Davis, Anthony -- NOP","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Thomas, Isaiah -- BOS",2015
Ramona Shelburne,ESPN.com,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","George, Paul -- IND","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Paul, Chris -- LAC","Thompson, Klay -- GS","Millsap, Paul -- ATL","Davis, Anthony -- NOP","Lowry, Kyle -- TOR","Harden, James -- HOU",2015
Ric Bucher,Bleacher Report,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Rod Beard,Detroit News,"James, LeBron -- CLE","Durant, Kevin -- OKC","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Paul, Chris -- LAC","Nowitzki, Dirk -- DAL","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Thomas, Isaiah -- BOS","Thompson, Klay -- GS",2015
Ron Boone,ROOT Sports,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Horford, Al -- ATL","Paul, Chris -- LAC","Harden, James -- HOU","Davis, Anthony -- NOP","Millsap, Paul -- ATL","Duncan, Tim -- SA","Lillard, Damian -- POR","Thompson, Klay -- GS",2015
Ron Tillery,Memphis Commercial Appeal,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Millsap, Paul -- ATL","Green, Draymond -- GS","Paul, Chris -- LAC","Lillard, Damian -- POR","Gasol, Pau -- CHI","Davis, Anthony -- NOP","Duncan, Tim -- SA","Butler, Jimmy -- CHI","Lowry, Kyle -- TOR",2015
Rusty Simmons,San Francisco Chronicle,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Green, Draymond -- GS","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Harden, James -- HOU","Thompson, Klay -- GS","George, Paul -- IND","Aldridge, LaMarcus -- SA","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Sage Steele,ABC Sports,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","George, Paul -- IND","Jordan, DeAndre -- LAC","Lillard, Damian -- POR","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Cousins, DeMarcus -- SAC","Thompson, Klay -- GS","Paul, Chris -- LAC",2015
Sam Amick,USA Today,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Green, Draymond -- GS","Durant, Kevin -- OKC","Drummond, Andre -- DET","Lillard, Damian -- POR","Paul, Chris -- LAC","George, Paul -- IND","Aldridge, LaMarcus -- SA","Davis, Anthony -- NOP","Lowry, Kyle -- TOR","Thompson, Klay -- GS",2015
Sam Smith,Bulls.com,"James, LeBron -- CLE","Durant, Kevin -- OKC","Drummond, Andre -- DET","Curry, Stephen -- GS","Paul, Chris -- LAC","Leonard, Kawhi -- SA","George, Paul -- IND","Cousins, DeMarcus -- SAC","Westbrook, Russell -- OKC","Lillard, Damian -- POR","Aldridge, LaMarcus -- SA","Green, Draymond -- GS","Gasol, Pau -- CHI","Harden, James -- HOU","Thompson, Klay -- GS",2015
Sean Deveney,The Sporting News,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Davis, Anthony -- NOP","Drummond, Andre -- DET","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Aldridge, LaMarcus -- SA","George, Paul -- IND","Towns, Karl-Anthony -- MIN","Thomas, Isaiah -- BOS","Lillard, Damian -- POR",2015
Sean Grande,98.5 The Sports Hub,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Drummond, Andre -- DET","Paul, Chris -- LAC","Lowry, Kyle -- TOR","Millsap, Paul -- ATL","Butler, Jimmy -- CHI","Horford, Al -- ATL","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Sean Kelley,WRNO 99.5 FM,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Green, Draymond -- GS","Durant, Kevin -- OKC","Aldridge, LaMarcus -- SA","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Sherman Hamilton,NBA TV Canada,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Aldridge, LaMarcus -- SA","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Green, Draymond -- GS","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Paul, Chris -- LAC","Lowry, Kyle -- TOR","George, Paul -- IND","Thompson, Klay -- GS","Gasol, Pau -- CHI","Lillard, Damian -- POR","Harden, James -- HOU",2015
Sherrod Blakely,CSNNE.com,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Drummond, Andre -- DET","Paul, Chris -- LAC","Curry, Stephen -- GS","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Cousins, DeMarcus -- SAC","Lowry, Kyle -- TOR","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","George, Paul -- IND","Jordan, DeAndre -- LAC","Harden, James -- HOU","Lillard, Damian -- POR",2015
Stefan Bondy,New York Daily News,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Paul, Chris -- LAC","Curry, Stephen -- GS","Durant, Kevin -- OKC","George, Paul -- IND","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","Westbrook, Russell -- OKC","Aldridge, LaMarcus -- SA","Millsap, Paul -- ATL","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Harden, James -- HOU",2015
Stephanie Ready,Fox Sports Carolinas/SportSouth,"Durant, Kevin -- OKC","James, LeBron -- CLE","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Leonard, Kawhi -- SA","Gasol, Pau -- CHI","Paul, Chris -- LAC","Thompson, Klay -- GS","George, Paul -- IND","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Lillard, Damian -- POR","Harden, James -- HOU",2015
Steve Aschburner,NBA.com,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lillard, Damian -- POR","Millsap, Paul -- ATL","George, Paul -- IND","Cousins, DeMarcus -- SAC","Thompson, Klay -- GS","Lowry, Kyle -- TOR",2015
Steve Buckhantz,Comcast SportsNet Mid-Atlantic,"Durant, Kevin -- OKC","James, LeBron -- CLE","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Green, Draymond -- GS","Jordan, DeAndre -- LAC","Paul, Chris -- LAC","Lillard, Damian -- POR","George, Paul -- IND","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Harden, James -- HOU","Thompson, Klay -- GS",2015
Steve Holman,Hawks Radio Network,"Green, Draymond -- GS","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","James, LeBron -- CLE","Durant, Kevin -- OKC","Drummond, Andre -- DET","Lillard, Damian -- POR","Paul, Chris -- LAC","George, Paul -- IND","Millsap, Paul -- ATL","Horford, Al -- ATL","Harden, James -- HOU","Lowry, Kyle -- TOR",2015
Steve Martin,Fox Sports Carolinas/SportSouth,"James, LeBron -- CLE","Durant, Kevin -- OKC","Drummond, Andre -- DET","Curry, Stephen -- GS","Westbrook, Russell -- OKC","George, Paul -- IND","Leonard, Kawhi -- SA","Cousins, DeMarcus -- SAC","Lillard, Damian -- POR","DeRozan, DeMar -- TOR","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Towns, Karl-Anthony -- MIN","Walker, Kemba -- CHA","Harden, James -- HOU",2015
Ted Davis,WTMJ Radio,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Green, Draymond -- GS","Westbrook, Russell -- OKC","Curry, Stephen -- GS","Durant, Kevin -- OKC","Davis, Anthony -- NOP","Cousins, DeMarcus -- SAC","Thompson, Klay -- GS","Paul, Chris -- LAC","Harden, James -- HOU","George, Paul -- IND","Drummond, Andre -- DET","Lillard, Damian -- POR","Lowry, Kyle -- TOR",2015
Tim Kempton,KTAR Radio,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Leonard, Kawhi -- SA","Davis, Anthony -- NOP","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","Thomas, Isaiah -- BOS","Aldridge, LaMarcus -- SA","Green, Draymond -- GS","Whiteside, Hassan -- MIA","Thompson, Klay -- GS","Lillard, Damian -- POR",2015
Tim Reynolds,Associated Press,"James, LeBron -- CLE","Leonard, Kawhi -- SA","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Durant, Kevin -- OKC","Green, Draymond -- GS","Towns, Karl-Anthony -- MIN","Paul, Chris -- LAC","Thompson, Klay -- GS","George, Paul -- IND","Aldridge, LaMarcus -- SA","Drummond, Andre -- DET","Lowry, Kyle -- TOR","Lillard, Damian -- POR",2015
Tom McGinnis,Sixers Radio,"James, LeBron -- CLE","Durant, Kevin -- OKC","Cousins, DeMarcus -- SAC","Curry, Stephen -- GS","Paul, Chris -- LAC","George, Paul -- IND","Leonard, Kawhi -- SA","Drummond, Andre -- DET","Westbrook, Russell -- OKC","Lillard, Damian -- POR","Green, Draymond -- GS","Aldridge, LaMarcus -- SA","Towns, Karl-Anthony -- MIN","Harden, James -- HOU","Thompson, Klay -- GS",2015
Zach Lowe,ESPN.com,"Leonard, Kawhi -- SA","James, LeBron -- CLE","Jordan, DeAndre -- LAC","Curry, Stephen -- GS","Westbrook, Russell -- OKC","Green, Draymond -- GS","Durant, Kevin -- OKC","Horford, Al -- ATL","Lowry, Kyle -- TOR","Paul, Chris -- LAC","George, Paul -- IND","Millsap, Paul -- ATL","Towns, Karl-Anthony -- MIN","Lillard, Damian -- POR","Thompson, Klay -- GS",2015
