Voter,Affiliation,Forward (1-1),Forward (1-2),Center (1-1),Guard (1-1),Guard (1-2),Forward (2-1),Forward (2-2),Center (2-1),Guard (2-1),Guard (2-2),Year
Chris Mannix,Sports Illustrated,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Brooks, Dillon (MEM)","Smart, Marcus (BOS)",2020
Diego Martinez,Reforma,"Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2020
Jeff McDonald,San Antonio Express-News,"Adebayo, Bam (MIA)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","McConnell, T.J. (IND)",2020
Dave McMenamin,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Caruso, Alex (LAL)","Butler, Jimmy (MIA)",2020
Mark Medina,USA Today,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Smart, Marcus (BOS)","Butler, Jimmy (MIA)",2020
Yoko Miyaji,Sports Graphic Number,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","George, Paul (LAC)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2020
Joe Mussatto,The Oklahoman,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2020
Rachel Nichols,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2020
Kevin O'Connor,The Ringer,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2020
James Owczarski,Milwaukee Journal Sentinel,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2020
Candace Parker,Turner,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Butler, Jimmy (MIA)",2020
Roy Parry,Orlando Sentinel,"Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Adebayo, Bam (MIA)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Holiday, Jrue (MIL)",2020
Dave Pasch,ESPN,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Caruso, Alex (LAL)",2020
Kevin Pelton,ESPN,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Thybulle, Matisse (PHI)","Capela, Clint (ATL)","Dort, Luguentz (OKC)","Holiday, Jrue (MIL)",2020
Keith Pompey,Philadelphia Inquirer and Daily News,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Turner, Myles (IND)","Holiday, Jrue (MIL)","McConnell, T.J. (IND)",2020
Shaun Powell,NBA.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Murray, Dejounte (SAS)","Turner, Myles (IND)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2020
Duane Rankin,Arizona Republic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Caldwell-Pope, Kentavious (LAL)",2020
Bill Reiter,CBSSports.com,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Smart, Marcus (BOS)",2020
Tim Reynolds,Associated Press,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","McConnell, T.J. (IND)","Murray, Dejounte (SAS)",2020
Melissa Rohlin,Fox Sports,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2020
Taylor Rooks,Bleacher Report,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2020
Jalen Rose,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Embiid, Joel (PHI)","Paul, Chris (PHX)","Mitchell, Donovan (UTA)",2020
Simone Sandri,Gazzetta.it,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Adebayo, Bam (MIA)","Turner, Myles (IND)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2020
Omari Sankofa,Detroit Free Press,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2020
John Schuhmann,NBA.com,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","George, Paul (LAC)",2020
Guillermo Schutz,Televisa (TUDN),"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Turner, Myles (IND)","Thybulle, Matisse (PHI)","Bridges, Mikal (PHX)",2020
Dennis Scott,Turner,"Green, Draymond (GSW)","Turner, Myles (IND)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Davis, Anthony (LAL)","Capela, Clint (ATL)","McConnell, T.J. (IND)","Butler, Jimmy (MIA)",2020
Ramona Shelburne,ESPN,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2020
Bill Simmons,The Ringer,"Green, Draymond (GSW)","Simmons, Ben (PHI)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Antetokounmpo, Giannis (MIL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Murray, Dejounte (SAS)",2020
Mike Singer,Denver Post,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","George, Paul (LAC)","Dort, Luguentz (OKC)",2020
Anthony Slater,The Athletic,"Antetokounmpo, Giannis (MIL)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2020
Doug Smith,The Toronto Star,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Turner, Myles (IND)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","VanVleet, Fred (TOR)",2020
Stephen Smith,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2020
Steve Smith,Turner,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2020
Seerat Sohi,The Ringer,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Butler, Jimmy (MIA)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2020
Daisuke Sugiura,Nihon Keizai Shimbun,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Bridges, Mikal (PHX)",2020
Mirjam Swanson,Southern California News Group,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Davis, Anthony (LAL)","Leonard, Kawhi (LAC)","Embiid, Joel (PHI)","Thybulle, Matisse (PHI)","Butler, Jimmy (MIA)",2020
Maria Taylor,ESPN,"Simmons, Ben (PHI)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Leonard, Kawhi (LAC)","Randle, Julius (NYK)","Antetokounmpo, Giannis (MIL)","Embiid, Joel (PHI)","Butler, Jimmy (MIA)","George, Paul (LAC)",2020
Justin Termine,Sirius Radio,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)","Embiid, Joel (PHI)","Capela, Clint (ATL)","Bridges, Mikal (PHX)","Murray, Dejounte (SAS)",2020
Brad Townsend,Dallas Morning News,"Butler, Jimmy (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Bridges, Mikal (PHX)","Thybulle, Matisse (PHI)",2020
Christos Tsaltas,SDNA.gr,"Adebayo, Bam (MIA)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Thybulle, Matisse (PHI)","Simmons, Ben (PHI)","Green, Draymond (GSW)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Smart, Marcus (BOS)","Leonard, Kawhi (LAC)",2020
Olgun Uluc,ESPN Australia,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Embiid, Joel (PHI)","Leonard, Kawhi (LAC)","Capela, Clint (ATL)","Butler, Jimmy (MIA)","Thybulle, Matisse (PHI)",2020
Joe Vardon,The Athletic,"Adebayo, Bam (MIA)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Turner, Myles (IND)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2020
Gary Washburn,Boston Globe,"Simmons, Ben (PHI)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Holiday, Jrue (MIL)","Paul, Chris (PHX)","Adebayo, Bam (MIA)","Green, Draymond (GSW)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Green, Danny (PHI)",2020
Michael Wilbon,ESPN,"Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","George, Paul (LAC)","Conley, Mike (UTA)","Antetokounmpo, Giannis (MIL)","Randle, Julius (NYK)","Capela, Clint (ATL)","Westbrook, Russell (WAS)","Paul, Chris (PHX)",2020
Brian Windhorst,ESPN,"Leonard, Kawhi (LAC)","Green, Draymond (GSW)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Dort, Luguentz (OKC)",2020
Matt Winer,Turner,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Leonard, Kawhi (LAC)","Dort, Luguentz (OKC)","Capela, Clint (ATL)","Thybulle, Matisse (PHI)","Holiday, Jrue (MIL)",2020
Ryan Wolstat,The Toronto Sun,"Antetokounmpo, Giannis (MIL)","Butler, Jimmy (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Green, Draymond (GSW)","Bridges, Mikal (PHX)","Embiid, Joel (PHI)","George, Paul (LAC)","VanVleet, Fred (TOR)",2020
Michael Wright,NBA.com,"Green, Draymond (GSW)","Adebayo, Bam (MIA)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Embiid, Joel (PHI)","Antetokounmpo, Giannis (MIL)","Capela, Clint (ATL)","Holiday, Jrue (MIL)","Thybulle, Matisse (PHI)",2020
Royce Young,ESPN,"Green, Draymond (GSW)","Antetokounmpo, Giannis (MIL)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Holiday, Jrue (MIL)","Butler, Jimmy (MIA)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Dort, Luguentz (OKC)","Thybulle, Matisse (PHI)",2020
Jeff Zillgitt,USA Today,"Green, Draymond (GSW)","Leonard, Kawhi (LAC)","Gobert, Rudy (UTA)","Simmons, Ben (PHI)","Butler, Jimmy (MIA)","Antetokounmpo, Giannis (MIL)","Adebayo, Bam (MIA)","Embiid, Joel (PHI)","Holiday, Jrue (MIL)","Caruso, Alex (LAL)",2020
